subid,list
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-04-sc,2
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150122-05-sc,1
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-01-sc,2
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150129-02-sc,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150217,1
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-01-sc,2
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-02-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
150219-03-sc,1
